Settlement Date,Cost
20/12/2018,0
21/12/2018,2424
22/12/2018,2366
23/12/2018,0
24/12/2018,0
25/12/2018,0
26/12/2018,0
27/12/2018,0
28/12/2018,0
29/12/2018,0
30/12/2018,0
31/12/2018,0
01/01/2019,0
02/01/2019,0
03/01/2019,0
04/01/2019,0
05/01/2019,0
06/01/2019,0
07/01/2019,1809
08/01/2019,1356
09/01/2019,0
10/01/2019,0
11/01/2019,0
12/01/2019,1873
13/01/2019,1803
14/01/2019,0
15/01/2019,0
16/01/2019,0
17/01/2019,0
18/01/2019,0
19/01/2019,0
20/01/2019,0
21/01/2019,0
22/01/2019,0
23/01/2019,0
24/01/2019,0
25/01/2019,0
26/01/2019,0
27/01/2019,0
28/01/2019,0
29/01/2019,0
30/01/2019,0
31/01/2019,0
01/02/2019,0
02/02/2019,0
03/02/2019,2553
04/02/2019,1755
05/02/2019,0
06/02/2019,0
07/02/2019,0
08/02/2019,0
09/02/2019,0
10/02/2019,0
11/02/2019,0
12/02/2019,1769
13/02/2019,1703
14/02/2019,0
15/02/2019,0
16/02/2019,1688
17/02/2019,1847
18/02/2019,1945
19/02/2019,1966
20/02/2019,2659
21/02/2019,3017
22/02/2019,2127
23/02/2019,1953
24/02/2019,0
25/02/2019,0
26/02/2019,0
27/02/2019,0
28/02/2019,0
01/03/2019,0
02/03/2019,1967
03/03/2019,1993
04/03/2019,1214
05/03/2019,8
06/03/2019,0
07/03/2019,522
08/03/2019,0
09/03/2019,0
10/03/2019,0
11/03/2019,0
12/03/2019,2397
13/03/2019,0
14/03/2019,0
15/03/2019,3686
16/03/2019,1380
17/03/2019,1986
18/03/2019,0
19/03/2019,14399
20/03/2019,0
21/03/2019,0
22/03/2019,0
23/03/2019,0
24/03/2019,1596
25/03/2019,0
26/03/2019,0
27/03/2019,0
28/03/2019,0
29/03/2019,0
30/03/2019,0
31/03/2019,0
